Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
102,0.78,0.46,0.96,0.92,0,0.81,0.5,0.52,0.94,0.78,0.86,0.72,0.89,0.76,0.48,0.85,0.63,0.07,0.71,0.86,0.8,0.25,0.97,0.26
103,0.78,0.4,0.92,0.94,0,0.77,0.49,0.52,0.94,0.76,0.87,0.7,0.89,0.66,0.5,0.76,0.66,0.07,0.68,0.83,0.74,0.24,0.97,0.25
104,0.75,0.39,0.92,0.92,0,0.66,0.49,0.53,0.94,0.75,0.87,0.66,0.89,0.66,0.5,0.78,0.66,0.07,0.65,0.83,0.74,0.25,0.97,0.26
105,0.63,0.35,0.81,0.92,0,0.67,0.46,0.53,0.94,0.71,0.85,0.62,0.88,0.43,0.55,0.59,0.72,0.07,0.55,0.79,0.61,0.24,0.95,0.26
106,0.66,0.36,0.81,0.93,0,0.68,0.46,0.54,0.94,0.71,0.86,0.63,0.89,0.45,0.54,0.59,0.72,0.07,0.56,0.79,0.62,0.25,0.95,0.26
107,0.65,0.38,0.81,0.93,0,0.72,0.48,0.53,0.94,0.71,0.87,0.64,0.9,0.45,0.54,0.61,0.72,0.08,0.56,0.8,0.63,0.25,0.95,0.24
108,0.71,0.43,0.86,0.93,0,0.73,0.46,0.52,0.94,0.73,0.88,0.66,0.91,0.55,0.52,0.71,0.69,0.07,0.61,0.85,0.7,0.24,0.96,0.25
109,0.75,0.43,0.91,0.92,0,0.77,0.48,0.53,0.94,0.76,0.87,0.68,0.9,0.69,0.49,0.82,0.65,0.07,0.65,0.86,0.76,0.25,0.97,0.24
110,0.77,0.42,0.91,0.94,0,0.76,0.49,0.52,0.94,0.76,0.87,0.68,0.91,0.69,0.49,0.85,0.64,0.08,0.67,0.85,0.77,0.25,0.97,0.23
111,0.77,0.4,0.91,0.93,0,0.67,0.52,0.52,0.96,0.76,0.89,0.68,0.92,0.7,0.49,0.81,0.67,0.08,0.63,0.87,0.76,0.24,0.97,0.24
112,0.78,0.4,0.91,0.93,0,0.67,0.49,0.53,0.95,0.76,0.87,0.68,0.9,0.69,0.49,0.81,0.65,0.08,0.66,0.86,0.77,0.25,0.97,0.26
113,0.77,0.38,0.91,0.93,0,0.75,0.48,0.53,0.95,0.75,0.88,0.67,0.91,0.69,0.48,0.83,0.65,0.08,0.69,0.86,0.78,0.24,0.97,0.28
114,0.76,0.4,0.91,0.93,0,0.78,0.5,0.53,0.95,0.75,0.89,0.68,0.92,0.69,0.49,0.82,0.66,0.07,0.63,0.86,0.78,0.25,0.97,0.25
115,0.75,0.41,0.91,0.93,0,0.81,0.51,0.54,0.95,0.76,0.89,0.69,0.92,0.69,0.49,0.81,0.66,0.07,0.63,0.86,0.77,0.24,0.97,0.2
116,0.74,0.44,0.92,0.91,0,0.76,0.49,0.54,0.94,0.75,0.88,0.69,0.91,0.69,0.49,0.81,0.65,0.08,0.69,0.86,0.75,0.24,0.97,0.21
117,0.77,0.42,0.92,0.9,0,0.69,0.51,0.54,0.94,0.75,0.89,0.67,0.92,0.7,0.49,0.8,0.67,0.08,0.61,0.85,0.74,0.25,0.97,0.25
118,0.6,0.33,0.8,0.91,0,0.68,0.51,0.54,0.94,0.7,0.85,0.62,0.87,0.43,0.54,0.56,0.72,0.07,0.34,0.78,0.58,0.25,0.95,0.21
119,0.63,0.35,0.8,0.93,0,0.78,0.52,0.54,0.94,0.7,0.87,0.64,0.89,0.45,0.53,0.6,0.72,0.07,0.36,0.8,0.61,0.24,0.95,0.23
120,0.63,0.34,0.8,0.94,0,0.68,0.51,0.55,0.94,0.7,0.87,0.62,0.9,0.45,0.54,0.61,0.72,0.07,0.38,0.79,0.62,0.25,0.95,0.2
121,0.64,0.34,0.8,0.93,0,0.66,0.54,0.54,0.94,0.7,0.88,0.62,0.91,0.46,0.54,0.63,0.71,0.07,0.37,0.78,0.62,0.25,0.95,0.21
122,0.76,0.45,0.89,0.92,0,0.77,0.51,0.52,0.95,0.74,0.91,0.67,0.93,0.66,0.51,0.79,0.69,0.07,0.51,0.89,0.77,0.24,0.97,0.22
123,0.76,0.44,0.89,0.91,0,0.78,0.52,0.52,0.96,0.74,0.9,0.66,0.94,0.66,0.51,0.78,0.69,0.07,0.54,0.88,0.75,0.25,0.97,0.23
124,0.75,0.43,0.89,0.91,0,0.76,0.51,0.52,0.95,0.74,0.9,0.66,0.94,0.63,0.52,0.79,0.68,0.07,0.64,0.88,0.75,0.25,0.96,0.23
125,0.58,0.29,0.47,0.91,0.57,0.59,0.5,0.55,0.91,0.66,0.89,0.89,0.82,0.23,0.54,0.37,0.82,0.23,0.35,0.78,0.5,0.25,0.94,0.13
126,0.58,0.32,0.47,0.91,0.53,0.59,0.49,0.54,0.92,0.66,0.88,0.89,0.81,0.21,0.55,0.39,0.82,0.17,0.39,0.78,0.48,0.24,0.93,0.14
127,0.58,0.33,0.51,0.92,0.48,0.26,0.49,0.54,0.92,0.65,0.89,0.89,0.82,0.2,0.56,0.39,0.82,0.19,0.48,0.78,0.52,0.24,0.94,0.22
128,0.6,0.4,0.67,0.92,0.21,0.67,0.49,0.56,0.92,0.7,0.89,0.89,0.84,0.31,0.56,0.46,0.79,0.25,0.49,0.81,0.57,0.24,0.95,0.23
129,0.46,0.5,0.44,0.92,0.26,0.22,0.49,0.44,0.91,0.68,0.86,0.89,0.8,0.26,0.53,0.43,0.78,0.27,0.33,0.81,0.25,0.25,0.91,0.23
130,0.53,0.36,0.59,0.91,0.27,0.28,0.5,0.55,0.93,0.68,0.9,0.89,0.84,0.23,0.57,0.43,0.82,0.22,0.39,0.8,0.51,0.25,0.93,0.12
131,0.61,0.34,0.66,0.91,0.24,0.83,0.51,0.53,0.9,0.72,0.71,0.89,0.66,0.23,0.54,0.48,0.76,0.15,0.52,0.82,0.59,0.25,0.94,0.25
132,0.63,0.34,0.66,0.92,0.24,0.71,0.49,0.52,0.94,0.71,0.88,0.89,0.85,0.23,0.58,0.47,0.79,0.11,0.54,0.82,0.58,0.25,0.94,0.27
133,0.67,0.41,0.8,0.93,0,0.77,0.45,0.54,0.94,0.71,0.88,0.67,0.9,0.49,0.55,0.52,0.78,0.08,0.55,0.83,0.62,0.24,0.94,0.23
134,0.76,0.47,0.92,0.91,0,0.69,0.47,0.54,0.94,0.76,0.88,0.66,0.92,0.69,0.51,0.8,0.67,0.08,0.65,0.88,0.77,0.25,0.97,0.22
135,0.76,0.45,0.92,0.91,0,0.79,0.47,0.55,0.94,0.76,0.88,0.68,0.92,0.69,0.51,0.81,0.66,0.07,0.67,0.88,0.77,0.24,0.97,0.29
