Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
100,0.68,0.42,0.78,0.91,0.10,0.54,0.48,0.56,0.93,0.73,0.91,0.65,0.93,0.54,0.51,0.53,0.77,0.08,0.59,0.83,0.69,0.31,0.96,0.26
101,0.68,0.43,0.78,0.91,0.10,0.54,0.48,0.55,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.53,0.77,0.08,0.59,0.82,0.67,0.29,0.95,0.26
102,0.68,0.43,0.78,0.91,0.10,0.54,0.48,0.55,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.53,0.77,0.08,0.59,0.83,0.68,0.30,0.96,0.27
103,0.68,0.43,0.78,0.91,0.10,0.58,0.48,0.54,0.93,0.73,0.91,0.65,0.93,0.54,0.52,0.56,0.77,0.08,0.58,0.84,0.68,0.31,0.96,0.27
104,0.68,0.42,0.78,0.91,0.09,0.58,0.48,0.54,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.55,0.78,0.08,0.57,0.83,0.67,0.32,0.96,0.28
105,0.67,0.40,0.78,0.91,0.09,0.58,0.48,0.55,0.93,0.73,0.91,0.66,0.93,0.53,0.52,0.52,0.78,0.08,0.56,0.83,0.68,0.30,0.96,0.30
106,0.67,0.43,0.78,0.91,0.10,0.58,0.48,0.55,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.51,0.78,0.08,0.56,0.83,0.67,0.30,0.96,0.29
107,0.67,0.46,0.78,0.91,0.10,0.58,0.48,0.55,0.92,0.73,0.91,0.66,0.93,0.54,0.52,0.51,0.78,0.08,0.55,0.83,0.68,0.31,0.96,0.30
108,0.67,0.50,0.78,0.92,0.10,0.58,0.48,0.55,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.51,0.78,0.08,0.54,0.83,0.66,0.33,0.96,0.30
109,0.67,0.43,0.78,0.92,0.10,0.58,0.47,0.55,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.50,0.78,0.08,0.54,0.83,0.66,0.30,0.95,0.29
110,0.67,0.40,0.78,0.92,0.10,0.58,0.47,0.55,0.93,0.72,0.91,0.65,0.93,0.54,0.51,0.49,0.78,0.08,0.50,0.83,0.66,0.29,0.95,0.29
111,0.67,0.43,0.78,0.92,0.09,0.58,0.47,0.54,0.93,0.73,0.91,0.65,0.93,0.54,0.51,0.50,0.79,0.08,0.48,0.83,0.67,0.33,0.95,0.28
112,0.69,0.44,0.78,0.92,0.09,0.58,0.46,0.53,0.93,0.73,0.91,0.65,0.93,0.54,0.51,0.49,0.79,0.08,0.50,0.83,0.64,0.31,0.95,0.32
113,0.70,0.39,0.78,0.92,0.09,0.58,0.46,0.53,0.93,0.73,0.91,0.65,0.93,0.55,0.51,0.49,0.79,0.08,0.52,0.83,0.66,0.30,0.95,0.33
114,0.71,0.42,0.78,0.92,0.09,0.58,0.46,0.54,0.93,0.72,0.91,0.65,0.93,0.53,0.51,0.49,0.79,0.08,0.53,0.83,0.67,0.32,0.95,0.33
115,0.72,0.44,0.78,0.92,0.09,0.58,0.46,0.53,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.49,0.79,0.08,0.55,0.83,0.66,0.32,0.95,0.35
116,0.72,0.39,0.78,0.92,0.09,0.58,0.46,0.53,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.48,0.80,0.08,0.56,0.82,0.63,0.30,0.95,0.33
117,0.73,0.41,0.78,0.92,0.09,0.58,0.45,0.53,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.48,0.80,0.08,0.56,0.82,0.64,0.30,0.95,0.31
118,0.74,0.40,0.78,0.92,0.09,0.58,0.45,0.53,0.93,0.73,0.91,0.65,0.93,0.52,0.51,0.48,0.80,0.08,0.56,0.82,0.65,0.29,0.95,0.31
119,0.73,0.44,0.78,0.92,0.09,0.58,0.45,0.53,0.93,0.72,0.91,0.65,0.94,0.54,0.51,0.48,0.80,0.08,0.56,0.82,0.66,0.32,0.95,0.31
120,0.73,0.39,0.78,0.92,0.09,0.58,0.45,0.53,0.93,0.73,0.91,0.65,0.94,0.54,0.51,0.47,0.80,0.08,0.56,0.82,0.64,0.29,0.95,0.31
121,0.72,0.40,0.78,0.92,0.09,0.58,0.45,0.54,0.93,0.73,0.91,0.65,0.94,0.53,0.51,0.46,0.80,0.08,0.57,0.82,0.65,0.30,0.95,0.31
122,0.72,0.41,0.78,0.93,0.09,0.58,0.44,0.54,0.93,0.73,0.91,0.65,0.94,0.54,0.51,0.46,0.81,0.08,0.57,0.82,0.65,0.31,0.95,0.31
123,0.71,0.40,0.78,0.93,0.10,0.58,0.44,0.54,0.93,0.73,0.91,0.65,0.94,0.53,0.51,0.46,0.81,0.08,0.57,0.82,0.64,0.32,0.95,0.30
124,0.71,0.41,0.78,0.93,0.09,0.58,0.43,0.53,0.92,0.73,0.91,0.65,0.94,0.53,0.51,0.46,0.81,0.08,0.57,0.82,0.63,0.32,0.95,0.29
125,0.70,0.43,0.78,0.93,0.09,0.58,0.43,0.54,0.92,0.73,0.91,0.65,0.94,0.54,0.51,0.45,0.81,0.08,0.57,0.82,0.64,0.32,0.95,0.27
126,0.70,0.40,0.78,0.93,0.10,0.58,0.43,0.53,0.92,0.73,0.91,0.65,0.94,0.54,0.51,0.45,0.81,0.08,0.57,0.82,0.65,0.30,0.95,0.25
127,0.69,0.37,0.78,0.93,0.10,0.58,0.42,0.53,0.92,0.73,0.91,0.65,0.93,0.54,0.51,0.45,0.82,0.08,0.57,0.82,0.64,0.29,0.95,0.25
128,0.46,0.63,0.27,0.90,0.84,0.28,0.45,0.66,0.89,0.74,0.88,0.85,0.86,0.36,0.53,0.38,0.82,0.43,0.36,0.85,0.34,0.32,0.92,0.28
129,0.46,0.59,0.27,0.90,0.84,0.28,0.44,0.66,0.90,0.74,0.88,0.85,0.86,0.36,0.53,0.36,0.82,0.44,0.36,0.85,0.35,0.33,0.92,0.28
130,0.46,0.59,0.27,0.90,0.84,0.27,0.44,0.67,0.90,0.74,0.88,0.85,0.86,0.36,0.54,0.36,0.83,0.46,0.36,0.85,0.36,0.32,0.92,0.28
131,0.46,0.59,0.27,0.90,0.84,0.27,0.43,0.66,0.90,0.74,0.88,0.85,0.86,0.37,0.54,0.36,0.83,0.47,0.35,0.85,0.37,0.31,0.93,0.28
132,0.46,0.59,0.28,0.90,0.84,0.25,0.43,0.65,0.90,0.74,0.88,0.89,0.86,0.39,0.54,0.36,0.84,0.49,0.35,0.85,0.38,0.31,0.92,0.28
133,0.46,0.66,0.25,0.90,0.84,0.23,0.42,0.65,0.90,0.74,0.88,0.89,0.86,0.37,0.54,0.36,0.84,0.50,0.35,0.85,0.36,0.31,0.92,0.28
