Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
100,0.71,0.36,0.89,0.92,0.00,0.74,0.45,0.53,0.93,0.74,0.83,0.66,0.85,0.67,0.47,0.61,0.70,0.06,0.64,0.86,0.73,0.25,0.96,0.29
101,0.73,0.39,0.90,0.92,0.00,0.74,0.42,0.52,0.93,0.74,0.81,0.66,0.84,0.76,0.45,0.60,0.70,0.06,0.65,0.87,0.76,0.25,0.96,0.25
102,0.73,0.37,0.88,0.93,0.00,0.76,0.43,0.53,0.93,0.75,0.81,0.66,0.85,0.71,0.46,0.56,0.72,0.06,0.64,0.86,0.74,0.25,0.96,0.23
103,0.70,0.37,0.84,0.91,0.00,0.75,0.44,0.53,0.93,0.74,0.81,0.64,0.85,0.60,0.50,0.52,0.74,0.06,0.60,0.84,0.68,0.25,0.95,0.14
104,0.72,0.38,0.84,0.91,0.00,0.73,0.47,0.54,0.93,0.74,0.83,0.64,0.87,0.60,0.51,0.55,0.73,0.06,0.59,0.85,0.69,0.25,0.95,0.26
105,0.65,0.35,0.80,0.94,0.00,0.77,0.49,0.54,0.93,0.73,0.84,0.64,0.87,0.49,0.55,0.50,0.77,0.06,0.58,0.82,0.64,0.25,0.95,0.31
106,0.72,0.35,0.81,0.93,0.06,0.73,0.41,0.55,0.93,0.73,0.82,0.78,0.79,0.52,0.51,0.54,0.72,0.06,0.60,0.83,0.69,0.25,0.95,0.21
107,0.69,0.35,0.81,0.92,0.07,0.69,0.44,0.54,0.93,0.73,0.83,0.80,0.81,0.52,0.52,0.52,0.75,0.06,0.60,0.83,0.70,0.25,0.95,0.23
108,0.70,0.35,0.83,0.93,0.06,0.71,0.46,0.54,0.93,0.72,0.83,0.78,0.81,0.56,0.51,0.53,0.74,0.05,0.61,0.83,0.72,0.25,0.96,0.27
109,0.73,0.35,0.83,0.94,0.05,0.78,0.46,0.55,0.93,0.73,0.81,0.77,0.79,0.58,0.50,0.55,0.72,0.05,0.60,0.83,0.73,0.24,0.96,0.29
110,0.73,0.34,0.83,0.95,0.07,0.78,0.46,0.54,0.93,0.74,0.81,0.78,0.79,0.58,0.50,0.53,0.74,0.06,0.60,0.82,0.73,0.25,0.96,0.25
111,0.71,0.37,0.87,0.94,0.00,0.72,0.44,0.54,0.94,0.72,0.82,0.71,0.82,0.66,0.49,0.53,0.74,0.06,0.60,0.84,0.71,0.25,0.96,0.27
112,0.74,0.34,0.87,0.94,0.00,0.82,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.48,0.53,0.74,0.05,0.62,0.82,0.72,0.24,0.96,0.25
113,0.71,0.34,0.87,0.93,0.00,0.78,0.48,0.56,0.93,0.72,0.80,0.71,0.80,0.67,0.47,0.53,0.73,0.05,0.63,0.82,0.73,0.24,0.96,0.24
114,0.70,0.34,0.86,0.93,0.00,0.78,0.48,0.55,0.93,0.70,0.84,0.71,0.84,0.66,0.50,0.52,0.75,0.06,0.61,0.83,0.71,0.25,0.96,0.23
115,0.72,0.34,0.86,0.93,0.00,0.69,0.47,0.53,0.94,0.70,0.83,0.70,0.83,0.67,0.49,0.52,0.73,0.05,0.62,0.83,0.71,0.24,0.95,0.27
116,0.69,0.36,0.84,0.93,0.00,0.72,0.48,0.50,0.95,0.70,0.81,0.69,0.81,0.63,0.49,0.51,0.75,0.06,0.58,0.82,0.68,0.25,0.95,0.26
117,0.69,0.34,0.84,0.92,0.00,0.73,0.49,0.51,0.95,0.70,0.82,0.70,0.82,0.63,0.51,0.53,0.74,0.05,0.60,0.82,0.69,0.25,0.95,0.27
118,0.72,0.35,0.84,0.91,0.00,0.75,0.48,0.50,0.95,0.70,0.82,0.70,0.81,0.64,0.50,0.54,0.73,0.06,0.57,0.82,0.70,0.25,0.95,0.27
119,0.70,0.38,0.86,0.92,0.00,0.73,0.46,0.55,0.93,0.73,0.78,0.67,0.80,0.66,0.49,0.57,0.71,0.06,0.61,0.78,0.72,0.25,0.96,0.26
120,0.71,0.33,0.86,0.94,0.00,0.73,0.46,0.53,0.94,0.73,0.79,0.67,0.80,0.67,0.50,0.56,0.71,0.06,0.63,0.77,0.71,0.25,0.96,0.25
121,0.73,0.37,0.86,0.93,0.00,0.84,0.43,0.52,0.94,0.73,0.79,0.68,0.80,0.64,0.51,0.57,0.71,0.06,0.62,0.78,0.71,0.24,0.96,0.24
122,0.73,0.41,0.86,0.93,0.00,0.84,0.44,0.52,0.94,0.73,0.79,0.68,0.80,0.63,0.52,0.55,0.72,0.06,0.62,0.80,0.71,0.25,0.96,0.24
123,0.71,0.38,0.86,0.92,0.00,0.84,0.39,0.51,0.94,0.73,0.79,0.68,0.81,0.63,0.51,0.53,0.73,0.07,0.61,0.78,0.70,0.25,0.95,0.23
124,0.72,0.38,0.85,0.92,0.00,0.84,0.43,0.51,0.94,0.73,0.80,0.70,0.80,0.64,0.51,0.55,0.72,0.06,0.61,0.78,0.71,0.25,0.96,0.23
125,0.70,0.44,0.84,0.93,0.00,0.77,0.48,0.52,0.94,0.71,0.81,0.69,0.81,0.60,0.52,0.54,0.73,0.06,0.59,0.78,0.69,0.25,0.95,0.24
126,0.71,0.44,0.84,0.92,0.00,0.76,0.49,0.51,0.95,0.73,0.80,0.69,0.81,0.60,0.52,0.53,0.74,0.06,0.60,0.78,0.69,0.25,0.95,0.25
127,0.68,0.36,0.83,0.93,0.00,0.67,0.48,0.51,0.90,0.73,0.80,0.69,0.81,0.54,0.53,0.50,0.75,0.06,0.57,0.76,0.66,0.25,0.95,0.22
128,0.67,0.36,0.83,0.92,0.00,0.67,0.48,0.51,0.93,0.73,0.79,0.68,0.79,0.54,0.52,0.47,0.77,0.06,0.56,0.76,0.65,0.25,0.95,0.26
129,0.55,0.11,0.51,0.90,0.76,0.53,0.33,0.42,0.77,0.70,0.21,0.77,0.16,0.27,0.28,0.24,0.22,0.18,0.44,0.41,0.52,0.25,0.95,0.22
130,0.59,0.23,0.52,0.89,0.76,0.37,0.45,0.57,0.75,0.70,0.22,0.77,0.20,0.26,0.31,0.24,0.22,0.27,0.44,0.48,0.50,0.25,0.96,0.15
131,0.47,0.66,0.37,0.89,0.76,0.53,0.46,0.61,0.75,0.70,0.27,0.82,0.26,0.29,0.31,0.24,0.29,0.32,0.39,0.60,0.36,0.26,0.94,0.11
132,0.54,0.44,0.48,0.89,0.77,0.36,0.47,0.59,0.75,0.71,0.27,0.83,0.26,0.27,0.32,0.24,0.28,0.22,0.41,0.51,0.47,0.25,0.94,0.08
133,0.57,0.44,0.59,0.90,0.35,0.57,0.43,0.56,0.77,0.66,0.44,0.85,0.40,0.24,0.33,0.26,0.36,0.08,0.47,0.73,0.50,0.25,0.95,0.35
